Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
addis_ababa,sample_003,VALID,23405.962890625,14435.6259765625,208387296.0,0.0,0.0,0.0,32.46088409423828,49918.203125,69432
addis_ababa,sample_004,VALID,21697.23828125,14960.4189453125,223814128.0,0.0,0.0,0.0,32.46088409423828,48337.9453125,69370
addis_ababa,sample_005,VALID,21246.853515625,15141.830078125,229275008.0,0.0014361213235294116,0.0,0.0,0.0,47842.10546875,69323
addis_ababa,sample_006,VALID,26087.75,14244.9736328125,202919280.0,0.0,0.0,0.0,52.85640335083008,53155.02734375,69402
addis_ababa,sample_007,VALID,26192.9296875,14206.234375,201817104.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69445
addis_ababa,sample_008,VALID,25457.087890625,14556.3671875,211887824.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69430
addis_ababa,sample_009,VALID,23640.275390625,14655.021484375,214769664.0,0.0014361213235294116,0.0,0.0,0.0,49918.203125,69418
addis_ababa,sample_010,VALID,21937.99609375,15155.787109375,229697872.0,0.0014361213235294116,0.0,0.0,0.0,48337.9453125,69352
addis_ababa,sample_011,VALID,21695.978515625,15163.8681640625,229942912.0,0.0014361213235294116,0.0,0.0,0.0,48749.203125,69306
addis_ababa,sample_012,VALID,26934.234375,14475.587890625,209542640.0,0.0,0.0,0.0,102.75160217285156,53155.02734375,69374
addis_ababa,sample_013,VALID,27049.720703125,14604.3095703125,213285856.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69413
addis_ababa,sample_014,VALID,25807.466796875,15130.8173828125,228941648.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69395
addis_ababa,sample_015,VALID,23296.125,15229.3759765625,231933888.0,0.0014361213235294116,0.0,0.0,0.0,49918.203125,69342
addis_ababa,sample_016,VALID,21914.73828125,15501.5224609375,240297184.0,0.0014361213235294116,0.0,0.0,0.0,48563.828125,69285
addis_ababa,sample_017,VALID,21790.974609375,15490.7021484375,239961840.0,0.0,0.0,0.0,32.46088409423828,48845.5859375,69276
addis_ababa,sample_018,VALID,26966.046875,14373.421875,206595248.0,0.0,0.0,0.0,384.96954345703125,53155.02734375,69389
addis_ababa,sample_019,VALID,26966.587890625,14687.619140625,215726144.0,0.0014361213235294116,0.0,0.0,0.0,53155.02734375,69384
